text,label
I love this product,1
This is amazing,1
Absolutely fantastic experience,1
Very happy with my purchase,1
Great quality and fast shipping,1
Excellent customer service,1
Highly recommended,1
Super satisfied,1
Works perfectly,1
Five stars,1
I really enjoyed this,1
Best purchase ever,1
I am impressed,1
Very good value for money,1
Totally worth it,1
This made my day,1
Fantastic quality,1
I will buy again,1
Outstanding performance,1
Extremely pleased,1
I hate this,0
Terrible service,0
Worst purchase ever,0
Very disappointed,0
Poor quality,0
Not worth the money,0
Awful experience,0
Completely useless,0
Broke after one day,0
Very bad,0
I regret buying this,0
Do not recommend,0
Extremely frustrating,0
Waste of money,0
Not good at all,0
Cheap materials,0
Very unhappy,0
Bad customer support,0
Disappointed and angry,0
Horrible product,0
